阿鼻坠空	a bi zhui kong
夔阴师	kui yin shi
坤安府	kun an fu
鲲程万里上云阶	kun cheng wan li shang yun jie
鲲帝	kun di
鲲帝死克	kun di si ke
鲲夺珠	kun duo zhu
鲲鳞附体	kun lin fu ti
鲲鹏扑	kun peng pu
鲲鹏欲展风间	kun peng yu zhan feng jian
来步信然无不解	lai bu xin ran wu bu jie
莱乡圣界	lai xiang sheng jie
兰箫御	lan xiao yu
懒写残章堪入画	lan xie can zhang kan ru hua
浪辰台	lang chen tai
琅函天	lang han tian
郎唤南宫名带恨	lang huan nan gong ming dai hen
浪飘萍	lang piao ping
狼王爪	lang wang zhao
老贼头	lao zei tou
了却病苦短事	le que bing ku duan shi
雷狩	lei shou
雷霆刀周满	lei ting dao zhou man
雷雪	lei xue
雷妖	lei yao
雷之军势	lei zhi jun shi
冷孤眼	leng gu yan
冷霜子	leng shuang zi
冷心心	leng xin xin
冷眼识世路	leng yan shi shi lu
冷檐知雨误芭蕉	leng yan zhi yu wu ba jiao
冷雨凄风	leng yu qi feng
冷月孤眼霁寒霄	leng yue gu yan ji han xiao
离尘石	li chen shi
李沉渊	li chen yuan
离合并流	li he bing liu
李剑诗	li jian shi
历历三清浑沌	li li san qing hun dun
犁灵剑	li ling jian
李颇黎	li po li
离情钩	li qing gou
离阙辞故人	li que ci gu ren
李太白	li tai bai
李修儒	li xiu ru
李玄苏	li xuan su
恋红梅	lian hong mei
练剑法	lian jian fa
镰卷锋	lian juan feng
炼狱尊	lian yu zun
廉贞御丹碧	lian zhen yu dan bi
梁皇无忌	liang huang wu ji
凉青魟	liang qing hong
烈苍飞	lie cang fei
冽风涛	lie feng tao
猎星	lie xing
烈焰狂涛	lie yan kuang tao
烈阳凝冻雪焚烧	lie yang ning dong xue fen shao
烈阳邪火	lie yang xie huo
裂羽铳	lie yu chong
蔺孤阳	lin gu yang
麟滚珠	lin gun zhu
拎剑挥尘	lin jian hui chen
临摹天榜	lin mo tian bang
蔺青萍	lin qing ping
